"","date","hits","keyword","geo","time","gprop","category"
"378",2020-06-21,40,"/m/0218w7","AR","today+5-y","web",0
"379",2020-06-28,31,"/m/0218w7","AR","today+5-y","web",0
"380",2020-07-05,24,"/m/0218w7","AR","today+5-y","web",0
"381",2020-07-12,29,"/m/0218w7","AR","today+5-y","web",0
"382",2020-07-19,22,"/m/0218w7","AR","today+5-y","web",0
"383",2020-07-26,35,"/m/0218w7","AR","today+5-y","web",0
"384",2020-08-02,33,"/m/0218w7","AR","today+5-y","web",0
"385",2020-08-09,26,"/m/0218w7","AR","today+5-y","web",0
"386",2020-08-16,24,"/m/0218w7","AR","today+5-y","web",0
"387",2020-08-23,31,"/m/0218w7","AR","today+5-y","web",0
"388",2020-08-30,28,"/m/0218w7","AR","today+5-y","web",0
"389",2020-09-06,21,"/m/0218w7","AR","today+5-y","web",0
"390",2020-09-13,19,"/m/0218w7","AR","today+5-y","web",0
"391",2020-09-20,23,"/m/0218w7","AR","today+5-y","web",0
"392",2020-09-27,25,"/m/0218w7","AR","today+5-y","web",0
"393",2020-10-04,24,"/m/0218w7","AR","today+5-y","web",0
"394",2020-10-11,18,"/m/0218w7","AR","today+5-y","web",0
"395",2020-10-18,17,"/m/0218w7","AR","today+5-y","web",0
"396",2020-10-25,26,"/m/0218w7","AR","today+5-y","web",0
"397",2020-11-01,22,"/m/0218w7","AR","today+5-y","web",0
"398",2020-11-08,17,"/m/0218w7","AR","today+5-y","web",0
"399",2020-11-15,21,"/m/0218w7","AR","today+5-y","web",0
"400",2020-11-22,24,"/m/0218w7","AR","today+5-y","web",0
